id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,method,umpire1,umpire2,summary
1359538.0,2023.0,Dharamsala,17/05/2023,League,RR Rossouw,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Delhi Capitals,Punjab Kings,Punjab Kings,field,Delhi Capitals,runs,15.0,214.0,20.0,N,,KN Ananthapadmanabhan,MV Saidharshan Kumar,"Season: 2023.0, City: Dharamsala, Date: 17/05/2023, Match Type: League, Player of the Match: RR Rossouw, Venue: Himachal Pradesh Cricket Association Stadium, Dharamsala, Team1: Delhi Capitals, Team2: Punjab Kings, Toss Winner: Punjab Kings, Toss Decision: field, Winner: Delhi Capitals, Result: runs by 15.0 runs/wickets, Super Over: N, Umpires: KN Ananthapadmanabhan and MV Saidharshan Kumar."
1359539.0,2023.0,Hyderabad,18/05/2023,League,V Kohli,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,8.0,187.0,20.0,N,,BNJ Oxenford,VK Sharma,"Season: 2023.0, City: Hyderabad, Date: 18/05/2023, Match Type: League, Player of the Match: V Kohli, Venue: Rajiv Gandhi International Stadium, Uppal, Hyderabad, Team1: Sunrisers Hyderabad, Team2: Royal Challengers Bangalore, Toss Winner: Royal Challengers Bangalore, Toss Decision: field, Winner: Royal Challengers Bangalore, Result: wickets by 8.0 runs/wickets, Super Over: N, Umpires: BNJ Oxenford and VK Sharma."
1359540.0,2023.0,Dharamsala,19/05/2023,League,D Padikkal,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,4.0,188.0,20.0,N,,A Nand Kishore,RJ Tucker,"Season: 2023.0, City: Dharamsala, Date: 19/05/2023, Match Type: League, Player of the Match: D Padikkal, Venue: Himachal Pradesh Cricket Association Stadium, Dharamsala, Team1: Punjab Kings, Team2: Rajasthan Royals, Toss Winner: Rajasthan Royals, Toss Decision: field, Winner: Rajasthan Royals, Result: wickets by 4.0 runs/wickets, Super Over: N, Umpires: A Nand Kishore and RJ Tucker."
1359541.0,2023.0,Delhi,20/05/2023,League,RD Gaikwad,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Chennai Super Kings,runs,77.0,224.0,20.0,N,,CB Gaffaney,NA Patwardhan,"Season: 2023.0, City: Delhi, Date: 20/05/2023, Match Type: League, Player of the Match: RD Gaikwad, Venue: Arun Jaitley Stadium, Delhi, Team1: Chennai Super Kings, Team2: Delhi Capitals, Toss Winner: Chennai Super Kings, Toss Decision: bat, Winner: Chennai Super Kings, Result: runs by 77.0 runs/wickets, Super Over: N, Umpires: CB Gaffaney and NA Patwardhan."
1359542.0,2023.0,Kolkata,20/05/2023,League,N Pooran,"Eden Gardens, Kolkata",Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,field,Lucknow Super Giants,runs,1.0,177.0,20.0,N,,J Madanagopal,UV Gandhe,"Season: 2023.0, City: Kolkata, Date: 20/05/2023, Match Type: League, Player of the Match: N Pooran, Venue: Eden Gardens, Kolkata, Team1: Lucknow Super Giants, Team2: Kolkata Knight Riders, Toss Winner: Kolkata Knight Riders, Toss Decision: field, Winner: Lucknow Super Giants, Result: runs by 1.0 runs/wickets, Super Over: N, Umpires: J Madanagopal and UV Gandhe."
1359543.0,2023.0,Mumbai,21/05/2023,League,C Green,"Wankhede Stadium, Mumbai",Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,8.0,201.0,20.0,N,,KN Ananthapadmanabhan,RJ Tucker,"Season: 2023.0, City: Mumbai, Date: 21/05/2023, Match Type: League, Player of the Match: C Green, Venue: Wankhede Stadium, Mumbai, Team1: Sunrisers Hyderabad, Team2: Mumbai Indians, Toss Winner: Mumbai Indians, Toss Decision: field, Winner: Mumbai Indians, Result: wickets by 8.0 runs/wickets, Super Over: N, Umpires: KN Ananthapadmanabhan and RJ Tucker."
1359544.0,2023.0,Bengaluru,21/05/2023,League,Shubman Gill,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,wickets,6.0,198.0,20.0,N,,Nitin Menon,VK Sharma,"Season: 2023.0, City: Bengaluru, Date: 21/05/2023, Match Type: League, Player of the Match: Shubman Gill, Venue: M Chinnaswamy Stadium, Bengaluru, Team1: Royal Challengers Bangalore, Team2: Gujarat Titans, Toss Winner: Gujarat Titans, Toss Decision: field, Winner: Gujarat Titans, Result: wickets by 6.0 runs/wickets, Super Over: N, Umpires: Nitin Menon and VK Sharma."
1370350.0,2023.0,Chennai,23/05/2023,Qualifier 1,RD Gaikwad,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,Chennai Super Kings,runs,15.0,173.0,20.0,N,,AK Chaudhary,CB Gaffaney,"Season: 2023.0, City: Chennai, Date: 23/05/2023, Match Type: Qualifier 1, Player of the Match: RD Gaikwad, Venue: MA Chidambaram Stadium, Chepauk, Chennai, Team1: Chennai Super Kings, Team2: Gujarat Titans, Toss Winner: Gujarat Titans, Toss Decision: field, Winner: Chennai Super Kings, Result: runs by 15.0 runs/wickets, Super Over: N, Umpires: AK Chaudhary and CB Gaffaney."
1370351.0,2023.0,Chennai,24/05/2023,Eliminator,Akash Madhwal,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Lucknow Super Giants,Mumbai Indians,bat,Mumbai Indians,runs,81.0,183.0,20.0,N,,BNJ Oxenford,VK Sharma,"Season: 2023.0, City: Chennai, Date: 24/05/2023, Match Type: Eliminator, Player of the Match: Akash Madhwal, Venue: MA Chidambaram Stadium, Chepauk, Chennai, Team1: Mumbai Indians, Team2: Lucknow Super Giants, Toss Winner: Mumbai Indians, Toss Decision: bat, Winner: Mumbai Indians, Result: runs by 81.0 runs/wickets, Super Over: N, Umpires: BNJ Oxenford and VK Sharma."
1370352.0,2023.0,Ahmedabad,26/05/2023,Qualifier 2,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Mumbai Indians,Mumbai Indians,field,Gujarat Titans,runs,62.0,234.0,20.0,N,,Nitin Menon,RJ Tucker,"Season: 2023.0, City: Ahmedabad, Date: 26/05/2023, Match Type: Qualifier 2, Player of the Match: Shubman Gill, Venue: Narendra Modi Stadium, Ahmedabad, Team1: Gujarat Titans, Team2: Mumbai Indians, Toss Winner: Mumbai Indians, Toss Decision: field, Winner: Gujarat Titans, Result: runs by 62.0 runs/wickets, Super Over: N, Umpires: Nitin Menon and RJ Tucker."
